human_doc_type,human_doc_type_confidence,human_notes,keep_for_ontology,priority,docform_cluster,n_docs,example_rel_paths,example_previews,cluster_chargrams_hint
,,,,,c0000_r0000,86,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_025403.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_027225.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_027278.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_027401.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_027244.txt,Source Entry: H\Macintosh HD\root\Users\jee\Library\Messages\Archive\2019-02-03\ \r\non 2018-12-03 at 08.29.43.ichat \r\nService: iMessage \r\nStart Time: 11/29/18 08:43:11 AM (565202591) \r\nEnd Time: 02/03/19 08:20:29 AM (570903629) \r\nL || Source Entry: H\Macintosh HD\root\Users\jee\Library\Messages\Archive\2017-04-09\1111 \r\non 2017-04-09 at 03.50.22.ichat \r\nService: iMessage \r\nStart Time: 04/09/17 12:50:22 AM (513417022) \r\nEnd Time: 04/09/17 08:12:43 AM (513443563) \ || Source Entry: H\Macintosh HD\root\Users\jee\Library\Messages\Archive\2018-06-16\Terje \r\non 2018-06-09 at 17.38.08.ichat \r\nService: iMessage \r\nStart Time: 06/09/18 02:38:08 PM (550273088) \r\nEnd Time: 06/16/18 06:50:37 AM (550849837)  || Source Entry: H\Macintosh HD\root\Users\jee\Library\Messages\Archive\2018-08-23\Eva on 2018-08-19 at \r\n01.17.51. ichat \r\nService: iMessage \r\nStart Time: 08/18/18 10:17:51 PM (556348671) \r\nEnd Time: 08/23/18 07:20:19 AM (556726819) \ || Source Entry: H\Macintosh HD\root\Users\jee\Library\Messages\Archive\2017-06-3011. \r\npn 2017-06-30 at 07.39.58.ichat \r\nService: IMessage \r\nStart Time: 06/30/17 04:39:58 AM (520515598) \r\nEnd Time: 06/30/17 11:08:53 AM (520538933) \r\,:  |  Is  | Is  | : No |  Is | M (5 | Is | M ( |  No  | ime: | ID:  | ID: | No  |  (5 | me:  | (5 | me: | UID: | Is R | UID | GUID | GUI |  GUI | Is I | n: N | D:  | ags: | D: | o GU | No G
,,,,,c0003_r0005,85,TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_032485.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_031344.txt | TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_033306.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_030714.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_026787.txt,"From: Landon Thomas Jr. \r\nSent: 2/16/2017 1:36:00 AM \r\nTo: jeevacation@gmail.com \r\nSubject: Fwd: production: 16db-stocks published \r\nImportance: High \r\nChanneling you! Maybe even the big guy gives it a read. What? This? From the f || From: DAVID SCHOEN \r\nSent: 3/6/2019 6:26:30 PM \r\nTo: jeevacation@gmail.com \r\nSubject: Jerrold Nadler's investigation seems rigged to me: Why are two leading Trump foes heading up his probe? - New \r\nYork Daily News \r\nImportance: Hi || From: Richard Kahn \r\nSent: 7/21/2016 12:00:41 PM \r\nTo: Jeffrey Epstein [jeevacation@gmail.com] \r\nSubject: Peter Thiel's Embrace of Trump Has Silicon Valley Squirming - NYTimes.com \r\nImportance: High \r\nhttp://mobile.nytimes.com/201 || From: Steve Bannon \r\nSent: 3/16/2018 11:19:55 AM \r\nTo: jeffrey E. [jeevacation@gmail.com] \r\nSubject: Skripal, Syria, And England Are All Victims Of The Globalist War On Trump I Geopolitica.RU \r\nImportance: High \r\nhttps : //www. ge || From: Kathy Ruemmler \r\nSent: 2/24/2018 3:36:08 AM \r\nTo: jeeyacation@gmail.com \r\nSubject: Lawyer for Susan Rice: Obama administration 'justifiably concerned' about sharing intel with Trump team - POLITICO \r\nImportance: High \r\nhttps",__ | ___ | e  | ____ | :  | in | s  | on | n  | om |  t | t  | re | or | en | an |  a | at | d  | y  | th |  T |  S | er | ti | nt | te | ar |  H | he
,,,,,c0003_r0006,72,TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_033289.txt | TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_033587.txt | TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_033293.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_029968.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_025906.txt,"From: Martin Weinberg \r\nSent: 4/27/2016 7:49:46 PM \r\nTo: Jeff Epstein [jeeyacation@gmail.com]; \r\nSubject: Fwd: media inquiry - Fox News \r\nImportance: High \r\nSent from my iPhone \r\nBegin forwarded message: \r\nFrom: \r\nDate: Apri || From: Martin Weinberg \r\nSent: 4/27/2016 7:49:46 PM \r\nTo: Jeff Epstein [jeeyacation@gmail.com]; \r\nSubject: Fwd: media inquiry - Fox News \r\nSent from my iPhone \r\nBegin forwarded message: \r\nFrom: \r\nDate: April 27, 2016 at 3:47:49 || From: Martin G. Weinberg \r\nSent: 5/6/2016 7:52:09 PM \r\nTo: jeevacation@gmail.com; \r\nSubject: Fw: media inquiry - Fox News \r\nImportance: High \r\nFrom: \r\nSent: Friday, May 06, 2016 3:26 PM \r\nTo:_____________________________ \r\nS || From: \r\nSent: 1/22/2013 10:45:31 PM \r\nTo: jeevacation@gmail.com \r\nSubject: Tom McMillen \r\nImportance: High \r\nHi Jeffrey, \r\nI saw Tom McMillen last night and he asked about you - said he lost touch. He's tight with the Obama's an || From: Kathy Ruemmler [ \r\nSent: 2/27/2016 4:34:42 PM \r\nTo: Jeffrey [jeeyacation@gmail.com] \r\nSubject: Fwd: Follow up \r\nImportance: High \r\nSent from my iPhone \r\nBegin forwarded message: \r\nFrom: Kathy Ruemmler \r\nDate: February ",__ | ___ | e  | ____ | :  | in | s  | on | n  | om |  t | t  | re | or | en | an |  a | at | d  | y  | th |  T |  S | er | ti | nt | te | ar |  H | he
,,,,,c0005_r0000,71,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_026106.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_030321.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_026103.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_030659.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_030662.txt,"From: Nicholas Ribis \r\nSent: 6/2/2017 11:22:47 PM \r\nTo: jeffrey E. [jeeyacation@gmail.com] \r\nSubject: Re: \r\nImportance: High \r\nAt wake now. Is AM ok - what is # \r\nSent from my BlackBerry 10 smartphone. \r\nFrom: Jeffrey E. \r\nS || From: \r\nSent: \r\nTo: \r\nSubject: \r\nWeingarten, Reid \r\n4/9/2018 9:11:24 PM \r\njeffrey E. [jeeyacation@gmail.com] \r\nRE: Re: \r\nImportance: High \r\nTrump's handpicked sdnyusa just authorized a search warrant of trump's private law || From: Nicholas Ribis \r\nSent: 5/30/2017 12:35:41 AM \r\nTo: jeffrey E. [jeeyacation@gmail.com] \r\nSubject: Re: \r\n______________________________________________________________________________1 \r\nImportance: High \r\nOk \r\nSent from m || From: Weingarten, Reid \r\nSent: 11/2/2017 5:36:25 PM \r\nTo: jeffrey E. [jeeyacation@gmail.com] \r\nSubject: Re: \r\nImportance: High \r\nTrump is going to fire mueller and republicans on hill won't do a thing \r\nSent from my BlackBerry 1 || From: Weingarten, Reid \r\nSent: 11/2/2017 5:44:41 PM \r\nTo: jeffrey E. [jeeyacation@gmail.com] \r\nSubject: Re: \r\nImportance: High \r\nIn between \r\nSent from my BlackBerry 10 smartphone. \r\nFrom: Jeffrey E. \r\nSent: Thursday, Novemb","e  | y  |  i | on | s  |  a | in |  t | at | d  | ,  | co | th |  c | ti |  co |  th | n  | is | or | ma | re | __ | ed | is  | ___ | ____ |  o | t  |  in"
,,,,,c0002_r0000,67,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_031036.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_031020.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_025347.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_029923.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_030612.txt,"From: jeffrey epstein [jeeyacation@gmail.com] \r\nSent: 5/16/2011 8:28:27 PM \r\nTo: Richard Kahn \r\nSubject: Re: Check ou1- Sok p5 Google \r\nYes \r\nSorry for all the typos .Sent from my iPhone \r\nOn May 16, 2011, at 5:10 PM, Richard Ka || From: Jeffrey Epstein [jeeyacation@gmail.com] \r\nSent: 1/30/2011 11:45:40 PM \r\nTo: Boris Nikolic (bgC3) \r\nSubject: Re: Re: \r\nperfect \r\nOn Sun, Jan 30, 2011 at 6:39 PM, Boris Nikolic (bgC3) < \r\nThank you man. Want to go and take a || From: Weingarten, Reid \r\nSent: 10/16/2012 1:00:27 AM \r\nTo: 'jeevacation@gmail.com' [jeevacation@gmail.com] \r\nSubject: Re: Re: \r\nImportance: High \r\nClinton \r\nFrom: Jeffrey Epstein [mailto:jeevacation@gmail.com] \r\nSent: Monday,  || From: \r\nSent: 1/20/2014 4:26:13 PM \r\nTo: jeff epstein [jeeyacation@gmail.com] \r\nSubject: Re: Happy bertday \r\nImportance: High \r\nHah! I completely forgot he always had that complex as a kid. Now its cool to be a mixed breed. \r\nTr || Date: Thursday, January 28 2010 10:29 AM \r\nSubject: Re: Re: \r\nFrom: Jeffrey Epstein <jeevacation©gmail.com> \r\nTo: Boris Nikolic \r\nyes you do, you need to laugh and have fun, he is good at that. \r\nOn Thu, Jan 28, 2010 at 5:27 AM, B","** | *** | **** | e  |  t |  a | y  | in | s  |  i | th | n  | d  | on | at |  th | ,  | re | ti |  c | co | or | t  | is | he |  co | an |  o | is  | te"
,,,,,c0003_r0003,59,TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_033336.txt | TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_033199.txt | TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_033235.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_026619.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_026630.txt,"From: Richard Kahn \r\nSent: 12/14/2018 6:42:54 PM \r\nTo: Jeffrey Epstein [jeeyacation@gmail.com] \r\nCC: Darren Indyke \r\nSubject: Chris Christie says he declined offer to be Trump's next chief of staff \r\nImportance: High \r\nhttps://n || From: Richard Kahn \r\nSent: 11/26/2016 3:37:10 AM \r\nTo: Jeffrey Epstein [jeevacation@gmail.com] \r\nSubject: Trump fills White House counsel and deputy national security posts - The Washington Post \r\nImportance: High \r\nhttps://www.wa || From: Richard Kahn \r\nSent: 5/9/2017 9:22:35 PM \r\nTo: jeffrey E. [jeeyacation@gmail.com] \r\nImportance: High \r\nhttp ://www. mansionglob al . com/articles/61984 -trump-lo oking-to-unlo ad-caribb ean-b each-\r\nestate? link=TD marketwat || From: Richard Kahn \r\nSent: 7/23/2015 7:39:58 PM \r\nTo: jeffrey E. [jeevacation@gmail.com] \r\nSubject: trump interview with anderson cooper \r\nImportance: High \r\nhe is a character.. \r\nhttp://www.realclearpolitics.com/video/2015/07/2 || From: Richard Kahn \r\nSent: 10/28/2016 12:34:36 PM \r\nTo: Jeffrey Epstein [jeeyacation@gmail.com] \r\nSubject: Trump will win the election and is more popular than Obama in 2008, Al system finds \r\nImportance: High \r\nhttp://www.cnbc.co",__ | ___ | e  | ____ | :  | in | s  | on | n  | om |  t | t  | re | or | en | an |  a | at | d  | y  | th |  T |  S | er | ti | nt | te | ar |  H | he
,,,,,c0003_r0002,57,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_030873.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_030859.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_031441.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_029976.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_029958.txt,"From: Michael Wolff____________________________ \r\nSent: 10/9/2017 1:18:25 PM \r\nTo: Jeffrey Epstein [jeeyacation@gmail.com] \r\nSubject: Fwd: How's it looking...? \r\nImportance: High \r\n----------Forwarded message---------- \r\nFrom: S || From: Faith Kates \r\nSent: 3/27/2015 2:34:05 AM \r\nTo: Jeffrey Epstein [jeevacation@gmail.com] \r\nSubject: Fwd: Google Alert - jeffrey epstein sex scandal \r\nImportance: High \r\nWhat a piece of shit!!! \r\nSent from my iPhone \r\nBegin || From: \r\non behalf of Christina Galbraith \r\nSent: 1/5/2015 10:12:19 PM \r\nTo: Jeffrey Epstein [jeeyacation@gmail.com] \r\nSubject: Fwd: High Profile \r\n----------Forwarded message---------- \r\nFrom: Jamie Rosenwald <__________________ || From: Lesley Groff \r\nSent: 9/10/2012 5:01:27 PM \r\nTo: Epstein Jeffrey [jeevacation@gmail.com] \r\nCC: \r\n______________________________________________________________________________________________________________________; Francis De || From: \r\nSent: 2/3/2016 1:15:33 PM \r\nTo: Jeffrey Epstein [jeeyacation@gmail.com]; Jeffrey Epstein [jeyacations@gmail.com] \r\nCC: Lesley Groff___________________________ \r\nSubject: I beat Bush \r\nImportance: High \r\nHi Jeffrey, \r\nI",__ | ___ | e  | ____ | :  | in | s  | on | n  | om |  t | t  | re | or | en | an |  a | at | d  | y  | th |  T |  S | er | ti | nt | te | ar |  H | he
,,,,,c0003_r0001,40,TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_032518.txt | TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_032637.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_031432.txt | TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_033163.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_022396.txt,"From: \r\nSent: \r\nTo: \r\nSubject: \r\nAttachments: \r\nThomas Jr., Landon \r\n3/9/2017 3:29:54 PM \r\nJeffrey Epstein [jeeyacation@gmail.com] \r\nSmall biz and Trump \r\nimage.png \r\nImportance: High \r\nIfs getting better \r\nAn index  || From: \r\nSent: \r\nTo: \r\nSubject: \r\nAttachments: \r\nRobert Kuhn \r\n11/6/2017 1:19:09 PM \r\njeffrey E. [jeeyacation@gmail.com] \r\nRe: \r\nKuhn - CNN - Xi and New Politburo Standing Committee - 10.26.17.pdf; Untitled attachment 16855 || From: \r\nSent: \r\nTo: \r\nSubject: \r\nNicholas Ribi \r\n2/19/2019 7:25:25 PM \r\nJeffrey Epstein [jeevacation@gmail.com] \r\nThe New York Times: Intimidation, Pressure and Humiliation: Inside Trump's Two-Year War on the Investigations \r || From: \r\nSent: \r\nTo: \r\nSubject: \r\nAttachments: \r\nEric Roth \r\n3/24/2015 5:58:34 PM \r\njeffrey E. [jeeyacation@gmail.com] \r\n10:00pm Tonight - CNBC Feature \r\nimage001.jpg; image002.jpg; image003.jpg \r\nImportance: High \r\nHi  || From: \r\nSent: \r\nTo: \r\n11/22/2016 5:55:37 PM \r\nJeffrey [jeeyacation@gmail.com] \r\nImportance: High \r\nMy Mom's childhood friend from Ukraine reached out to her - she works for Oleksandr Vilkul (Ukraninan \r\nopposition leader), ask",__ | ___ | e  | ____ | :  | in | s  | on | n  | om |  t | t  | re | or | en | an |  a | at | d  | y  | th |  T |  S | er | ti | nt | te | ar |  H | he
,,,,,noise,39,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_026356.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_025879.txt | TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_032439.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_029015.txt | TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_032437.txt,"From: jeffrey E. [jeeyacation@gmail.com] \r\nSent: 4/23/2015 7:44:25 PM  \r\nTo: Martin Weinberg \r\nSubject: Re: ATTORNEY-CLIENT PRIVILEGE \r\nImportance: High \r\nPrivileged - Redacted \r\nL._ \r\nOn Thu, Apr 23, 2015 at 3:43 PM, Martin W || From: Martin Weinberg \r\nSent: 4/23/2015 7:43:47 PM \r\nTo: Jeffrey Epstein [jeeyacation@gmail.com]; Kathy Ruemmler \r\nCC: Martin Weinberg dkiesq \r\nSubject: Re: ATTORNEY-CLIENT PRIVILEGE \r\nImportance: High \r\nPrivileged - Redacted \r || From: Alireza Ittihadieh \r\nSent: 1/15/2017 2:27:28 PM \r\nTo: jeffrey E. [jeeyacation@gmail.com] \r\nSubject: Re: \r\nImportance: High \r\nGood V's are trading between $10-13.0M \r\nV-BR \r\nAlireza ITTIHADIEH \r\nFrom: jeffrey E. \r\nSen || From: LH \r\nSent: 10/2/2016 12:34:29 PM \r\nTo: jeffrey E. [jeeyacation@gmail.com] \r\nCC: lhsoffice \r\nSubject: Re: Trump \r\nImportance: High \r\nWhat number r u at? \r\nSent from my iPhone \r\nPlease direct all scheduling inquiries to  || From: Alireza Ittihadieh \r\nSent: 1/15/2017 2:20:36 PM \r\nTo: jeffrey E. [jeeyacation@gmail.com] \r\nSubject: Re: \r\nImportance: High \r\nI just got my G550 - 5176 under contract at $18.5 and it's going to Pre-Purchase inspection on Mond",
,,,,,c0003_r0004,29,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_028926.txt | TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_032803.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_030429.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_030350.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_029325.txt,"From: Martin Weinberg \r\nSent: 3/19/2015 8:40:59 PM \r\nTo: Jeffrey Epstein [jeeyacation@gmail.com]; dkiesq \r\nSubject: Fw: Fwd: Mr. Clinton and Mr. Epstein \r\nAttachments: image001.gif \r\nImportance: High \r\nMartin G. Weinberg, Esq. \ || From: Neal Kassel \r\nSent: 9/4/2018 12:46:09 AM \r\nTo: Melanie Walker \r\nCC: Jeffrey Epstein [jeeyacation@gmail.com] \r\nSubject: Re: Introduction \r\nImportance: High \r\nThanks Melanie \r\nJeffery — look forward to meeting you. Wish Me || Date: Thursday, March 20 2014 06:19 PM \r\nSubject: Fwd: Google Alert - Jeffrey Epstein \r\nFrom: Tyler Shears \r\nTo: Jeffrey Epstein <jeeyacation©gmail.com>; Christina Galbraith \r\nLooks like Priceline Director made a bad move today and  || From: paul krassner \r\nSent: 3/25/2017 12:41:05 AM \r\nTo: jeffrey E. [jeeyacation@gmail.com] \r\nSubject: Re: FYI \r\nImportance: High \r\nOn Mar 24, 2017, at 2:57 PM, jeffrey E. <jeevacation@gmail.com> wrote: \r\ngood, how are you? \r\nW || From: Tyler Shears \r\nSent: 3/20/2014 2:46:17 PM \r\nTo: Christina Galbraith \r\nCC: jeevacation@gmail.com \r\nSubject: Re: Jeffrey Epstein, Harvard and Science Magnate, Applauds Congress' Largest Bill for Melanoma - CNBC \r\nImportance: H",__ | ___ | e  | ____ | :  | in | s  | on | n  | om |  t | t  | re | or | en | an |  a | at | d  | y  | th |  T |  S | er | ti | nt | te | ar |  H | he
,,,,,c0007_r0000,28,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_031531.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_029606.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_031299.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_030755.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_030387.txt,"From: Marc.Kensington \r\nSent: 11/27/2016 8:44:06 PM \r\nTo: jeffrey E. [jeeyacation@gmail.com] \r\nSubject: Re: \r\nImportance: High \r\nToo bad. I was excited to have a drink with you. Mr. Kiss is still alive and has his real market pric || From: \r\nSent: 12/12/2018 7:50:12 PM \r\nTo: J [jeevacation@gmail.com] \r\nSubject: Re: Michael Cohen Sentenced To 3 Years In Prison Following Plea That Implicated Trump - \r\nhttps://www.npr.org/676040070 \r\nImportance: High \r\n()always || From: Nicholas Ribis \r\nSent: 10/3/2018 3:10:21 PM \r\nTo: J [jeevacation@gmail.com] \r\nSubject: Re: \r\nImportance: High \r\nIn DC finalizing \r\nSent from my iPhone \r\nOn Oct 3, 2018, at 11:07 AM, J <jeevacation@gmail.corin> wrote: \r\ || From: jeffrey E. [jeeyacation@gmail.com] \r\nSent: 6/24/2016 10:51:32 AM \r\nTo: Faith Kates \r\nSubject: Re: \r\n7626 \r\nOn Fri, Jun 24, 2016 at 6:49 AM, Faith Kates < > wrote: \r\nIs this the right # says its disconnected \r\nSent from m || From: jeffrey E. [jeeyacation@gmail.com] \r\nSent: 1/30/2017 3:53:38 PM \r\nTo: Leon Blac \r\nSubject: Re: \r\nok \r\nOn Mon, Jan 30, 2017 at 10:52 AM, Leon Black <IMMIMI). wrote: \r\nJeffrey- I can't print this and when we try- it messes u","e  | y  | on |  t |  a |  i | s  | at | in | th | d  | co | n  | ,  | ti |  c |  th |  co | or | is | __ | re | ___ | ____ | ma | ed | t  | is  |  o | he"
,,,,,c0006_r0000,22,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_031556.txt | TEXT-20251116T222102Z-1-001/TEXT/002/HOUSE_OVERSIGHT_032716.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_025636.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_028936.txt | TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_030899.txt,"From: \r\nSent: \r\nTo: \r\nSubject: \r\nAttachments: \r\nLawrence Krauss \r\n2/27/2018 12:09:48 AM \r\njeffrey E. [jeevacation@gmail.com] \r\nRe: sorry \r\nimage002.png \r\nImportance: High \r\nThey claimed they had 1500 hits for their ann || From: \r\nSent: \r\nTo: \r\nSubject: \r\nAttachments: \r\nLawrence Krauss \r\n1/15/2018 3:01:19 AM \r\njeffrey E. [jeeyacation@gmail.com] \r\nRe: no chile \r\nimage002.png \r\nImportance: High \r\nNot sure I understood that, but thanks Jeff || From: \r\nSent: \r\nTo: \r\nSubject: \r\nAttachments: \r\nLawrence Krauss \r\n9/18/2015 6:26:27 PM \r\njeffrey E. [jeeyacation@gmail.com] \r\nRe: an article you may both hate. or like. \r\nDA866543-7401-4A5A-8E50-FD32E33A5OEC.png \r\nImport || From: Lawrence Krauss \r\nSent: 9/10/2015 8:09:42 PM \r\nTo: jeffrey E. [jeeyacation@gmail.com] \r\nSubject: Fwd: an article you may both hate. or like. \r\nAttachments: DA866543-7401-4A5A-8E50-FD32E33A5OEC.png; DA866543-7401-4A5A-8E50-FD32 || From: Lawrence Krauss \r\nSent: 4/6/2011 10:18:31 PM \r\nTo: Jeffrey Epstein [jeeyacation@gmail.com] \r\nSubject: Re: Statement in the Daily Beast? \r\nImportance: High \r\nBeyond anything else, you are my friend. I hope we can both always ","e  |  t |  a | s  | y  |  i | on | th | at | in | ,  | n  | d  |  th | ti | co | re |  c | t  | or | is |  co | he | __ |  o | ___ | ed | ____ | er | ma"
